date,estimated-transaction-volume-usd
2022-06-19,3068667429.006106
2022-06-23,3082609509.484813
2022-06-27,4634269413.105559
2022-07-01,4546355473.617748
2022-07-05,2225404516.1830726
2022-07-09,2217461123.425512
2022-07-13,2383177233.7305536
2022-07-17,1903059654.775057
2022-07-21,6542475947.197538
2022-07-25,2240841200.856595
2022-07-29,3110903345.229869
2022-08-02,2412379200.6057954
2022-08-06,861842752.5742803
2022-08-10,3582463514.5152545
2022-08-14,982849307.8036118
2022-08-18,2417721838.724551
2022-08-22,2363547456.2653685
2022-08-26,2261441431.608619
2022-08-30,3088297716.030527
2022-09-03,879894659.7350975
2022-09-07,2541455673.941922
2022-09-11,1050210815.9310844
2022-09-15,2092789197.2823946
2022-09-19,2970259317.4220386
2022-09-23,2446313226.405114
2022-09-27,3180479746.765458
2022-10-01,1129631640.2910287
2022-10-05,2788889389.9968886
2022-10-09,700741117.6826907
2022-10-13,2403635798.2811112
2022-10-17,2043650927.987136
2022-10-21,1556397811.0604718
2022-10-25,2029922329.8604708
2022-10-29,1370810442.8355875
2022-11-02,2385280093.312358
2022-11-06,1500762814.556163
2022-11-10,5450942995.332227
2022-11-14,4115043713.8673615
2022-11-18,6403239141.743098
2022-11-22,2641080662.9541574
2022-11-26,1207868138.6460793
2022-11-30,2125827290.735983
2022-12-04,808868574.8486406
2022-12-08,1933366648.3883827
2022-12-12,1766437843.065244
2022-12-16,2247197492.0637503
2022-12-20,2059242011.6362782
2022-12-24,1026982505.2744995
2022-12-28,1926197296.2123392
2023-01-01,960387891.2186182
2023-01-05,2113239373.4579191
2023-01-09,1764693546.2864401
2023-01-13,2463264992.3621755
2023-01-17,2680237409.611653
2023-01-21,2449265693.2777076
2023-01-25,2989378581.9675274
2023-01-29,1006418714.940687
2023-02-02,2350568892.687534
2023-02-06,1897844366.3147411
2023-02-10,2821715858.049523
2023-02-14,2556253417.1765366
2023-02-18,1377296531.3723257
2023-02-22,2537535479.447003
2023-02-26,829030192.9549239
2023-03-02,2086533468.9466226
2023-03-06,2174309951.733324
2023-03-10,3145620928.4517913
2023-03-14,5174879852.243775
2023-03-18,2228054547.197853
2023-03-22,4085982036.0350213
2023-03-26,984037172.6584415
2023-03-30,5441832858.287578
2023-04-03,2427314471.3794074
2023-04-07,1658809071.6178896
2023-04-11,5538417633.702715
2023-04-15,1462605812.374483
2023-04-19,2806672447.3950105
2023-04-23,1135637672.6980305
2023-04-27,2759095405.121972
2023-05-01,2578412163.433788
2023-05-05,2510385337.6027164
2023-05-09,2281077965.487694
2023-05-13,991289460.9544855
2023-05-17,2465971974.3540215
2023-05-21,791504500.9000938
2023-05-25,3373192745.053606
2023-05-29,2564600223.940437
2023-06-02,3105301689.675224
2023-06-06,3081878129.935029
2023-06-10,2299022634.963496
2023-06-14,3287955132.691958
2023-06-18,1950479880.7942493
2023-06-22,4476871257.393661
2023-06-26,3515517320.6694574
2023-06-30,5253587194.577619
2023-07-04,3086147729.6531544
2023-07-08,1730543820.382496
2023-07-12,3887422552.2014422
2023-07-17,3277687845.728592
2023-07-21,3344069486.298063
2023-07-25,2621711162.0469837
2023-07-29,1601998854.3885682
2023-08-02,3452200381.968956
2023-08-06,1225095930.1023917
2023-08-10,3177865892.3686566
2023-08-14,3301793396.5727725
2023-08-18,3939445599.5442023
2023-08-22,2805355085.877931
2023-08-26,1073303915.6180044
2023-08-30,3567436419.2072315
2023-09-03,1051592645.0544313
2023-09-07,2196838787.047706
2023-09-11,2325306660.6254573
2023-09-15,2619179658.315388
2023-09-19,2555774449.0871058
